fieldName;Name;integrName
lAmFKbufferId;lAmFKbufferId;
dUpdate;Изменено;
lTenantId;Код ссылки Владелец;
cFKcinumber;Номер КЭ;
cModelName;Модель (название);
cVendor;Производитель;Производитель
cSupplier;Поставщик (название);
iVendorId;Код производителя (в АМ);
iSupplierId;Код поставщика (в АМ);
cNatureName;Название Вида;
iNatureId;Код вида (в АМ);
iModelId;Код модели (в АМ);
cParentModelName;Название родительской модели;
iParentModelId;Код родит. модели (в АМ);
cPItemStatus;Результат обработки;
cCiType;Тип КЭ;Тип КЭ
cCiSubType;Подтип КЭ;Подтип КЭ
cFKpurpose;Назначение;Назначение
cFKoperationSrv;Операционный сервис;
cFKITSystemGK;Подсистема по ГК;
cFKidnumber;Идентификатор СУЭ;
cFKInventoryNumber;Инвентарный номер;
SerialNo;Серийный номер;
cFKPartNumber;Партномер;
cPartNo;cPartNo;
cFKroom;Комната;
iFKfloor;Этаж;
city;Город;
cLocation;Местоположение;
iCityId;Код города (АМ);
iLocId;Код местоположения (АМ);
cCupboard;Коммутационный шкаф;
iCupboardId;Код коммутационного шкафа (АМ);
cMaterial;МОЛ;
iMaterial;Код МОЛ;
cAdmin;Администратор;
iAdmin;Код администратора (АМ);
bUseCupboard;Использовать комм. шкаф;
cStatus;Статус;
cArea;Контур;
cGroup;Ответственный за систему;
iGroup;Код отв. за систему (АМ);
hdType1;Диск (тип1);
hdQuantity1;Кол-во тип1;
hdType2;Диск (тип2);
hdQuantity2;Кол-во тип2;
hdType3;Диск (тип3);
hdQuantity3;Кол-во тип3;
hdVolume1;"Объем 1, Гб";
hdVolume2;"Объем 2, Гб";
hdVolume3;"Объем 3, Гб";
hdFreeSlots;Свободных слотов;
IFKPower;"Потребляемая мощность, Вт";
CPUType;Тип процессора;
lCPUSpeedMHz;Скорость MHz;
lCPUNumber;Число процессоров;
lNumCorePerCPU;Число ядер;
ExternalDriveFK;ExternalDriveFK;
RAMVolumeFK;RAMVolumeFK;
IFKSlotsTotal;IFKSlotsTotal;
IFKSlotsUsed;IFKSlotsUsed;
CopperAll;Медь (всего);
CopperUsed;Медь (занято);
OptecUsed;Оптика (занято);
OpticAll;Оптика (всего);
TcpIpHostName;Хост;
TcpIpDomain;Домен;
TcpIpAddress;IP;
PhysicalAddress;MAC;
FKctrlHost;Упр-е: хост;
FKctrlMask;Упр-е: маска;
FKctrlIP;Упр-е: IP;
FKctrlMAC;Упр-е: MAC;
iLoadNum;Номер загрузки;
lCommentId;Код ссылки Comment;
ActionType;Тип действия;
iPortItemForUpdate;Код позиции для обновления;
FKtypeSAN;Тип SAN;
SummSHDVolume;Суммарный объём СХД;
IFrameCount;Количество фреймов (пишущих драйвов);
IMaxFrameCount;Максимальное количество фреймов (пишущих драйвов);
cTapeDeviceType;Тип ленточных накопителей;
ITapeDeviceCount;Количество ленточных накопителей;
QuantityFreeSlotsFK;Количество свободных слотов для ленточных накопителей;
CurentValueFK;Текущая емкость (Тб);
CInterface;Интерфейс подключения;
FKctrlDomain;Упр-е: Шлюз;
TcpIpMaskFK;Маска;
cNameByContract;Гарантия Наименование согласно контракту поставки;
cContractGuaranteeName;Постгарантия Контракт постгарантии;
cContractModernName;Модернизация Контракт поставки модернизации;
cContractModern2Name;Модернизация 2 Контракт поставки модернизации 2;
EResContract1;cResContract1;
cResContract2;cResContract2;
cResContract3;cResContract3;
cResContract4;cResContract4;
cResContract5;cResContract5;
c;cContractGuarantee;
cGarSupplier;Гарантия Поставщик;
cContractSuppName;cGarSupTerm;
cGarDevTerm;Гарантия Срок гарантии производителя;
cGarYear;Гарантия Год выпуска;
cPostGatContr;Постгарантия Исполнитель по постгарантии;
cPostGarContrUp1;Постгарантия Срок гарантии по контракту постгарантии;
cModContrUpg1;Модернизация Год выпуска Модернизации;
cModContrUpg2;Модернизация 2 Год выпуска Модернизации 2;
cModYearUpg1;Модернизация Срок гарантии поставщика Модернизации;
cModYearUpg2;Модернизация 2 Срок гарантии поставщика Модернизации 2;
cResContract6;cResContract6;
cResContract7;cResContract7;
cResContract8;cResContract8;
cResContract9;cResContract9;
cResContract10;cResContract10;
cResContract11;cResContract11;
cResContract12;cResContract12;
cResContract13;cResContract13;
cResContract14;cResContract14;
cResContract15;cResContract15;
cContractSuppName;Гарантия Контракт поставки;
dGarSupTerm;Гарантия Срок гарантии поставщика;
dGarDevTerm;Гарантия Срок гарантии производителя;
dPostGarContrUp1;Постгарантия Срок гарантии по контракту постгарантии;
dModYearUpg1;Модернизация Срок гарантии поставщика Модернизации;
dModYearUpg2;Модернизация 2 Срок гарантии поставщика Модернизации 2;
dResContract1;dResContract1;
dResContract2;dResContract2;
dResContract3;dResContract3;
dResContract4;dResContract4;
dResContract5;dResContract5;
iGarSupTerm;iGarSupTerm;
iOps;Код ОПС (АМ);
iITSrv;Код ИТ сервиса (АМ);
cCondition;Состояние;
cStore;Склад;
cBalance;Балансовый учет;
cRto;РТО;
cCheck;Спецпроверка;
lStockId;Код склада (в АМ);
iCupboardUnitId;Код юнита (АМ);
cFKunit;Юнит;
cFKsobol;СКЗИ соболь;
iPortfolioItemId;Код позиции портфеля (в АМ);
cFKsobolMDZ;СКЗИ соболь Номер МДЗ;
cFKsobolSeal;СКЗИ соболь Номер печати пломбы;
iComputerID;Код компьютера (в АМ);
TcpIpGateway;Шлюз;
cOverflowTable;Код OverflowTable (в AM);
iNetCard;Код Сетевой карты (в АМ);
iNetCardCtrl;Код хоста упр (в АМ);
cFKtofk;Код ТоФК;Код Организации
cAccauntName;Наименование по бухгалтерии;
cPosition;Должность;
cUser;Пользователь;
iUser;Код пользователя (АМ);
Activated;Activated;
iPostWarSuppId;Код исполнителя постгар;
